万得代码,交易所代码,自然日,订单时间,买卖方向,成交价格,订单数量,明细个数,订单明细,
300446.SZ,300446,20171229,94351000,65,215800,1,1,200,
300446.SZ,300446,20171229,94351000,66,215700,1,1,1800,
300446.SZ,300446,20171229,94418000,65,215800,1,1,100,
300446.SZ,300446,20171229,94418000,66,215700,1,1,1800,
300446.SZ,300446,20171229,94421000,65,215800,1,1,100,
300446.SZ,300446,20171229,94421000,66,215500,2,2,300,500,
300446.SZ,300446,20171229,94427000,65,216100,1,1,1800,
300446.SZ,300446,20171229,94427000,66,215800,1,1,8600,
300446.SZ,300446,20171229,94436000,65,216100,1,1,1800,
300446.SZ,300446,20171229,94436000,66,215800,2,2,2300,500,
300446.SZ,300446,20171229,94439000,65,216000,1,1,2000,
300446.SZ,300446,20171229,94439000,66,215800,2,2,1500,500,
300446.SZ,300446,20171229,94448000,65,215800,1,1,2200,
300446.SZ,300446,20171229,94448000,66,215500,3,3,300,500,1000,
300446.SZ,300446,20171229,94451000,65,215800,1,1,2200,
300446.SZ,300446,20171229,94451000,66,215500,1,1,200,
300446.SZ,300446,20171229,94524000,65,216100,1,1,1800,
300446.SZ,300446,20171229,94524000,66,215500,1,1,200,
300446.SZ,300446,20171229,94527000,65,216100,1,1,1800,
300446.SZ,300446,20171229,94527000,66,215500,2,2,200,500,
300446.SZ,300446,20171229,94530000,65,216100,1,1,1800,
300446.SZ,300446,20171229,94530000,66,215500,3,3,200,500,18000,
300446.SZ,300446,20171229,94536000,65,216100,1,1,1800,
300446.SZ,300446,20171229,94536000,66,215500,1,1,17900,
300446.SZ,300446,20171229,94539000,65,216000,1,1,1400,
300446.SZ,300446,20171229,94539000,66,215500,1,1,17900,
300446.SZ,300446,20171229,94551000,65,216000,1,1,500,
300446.SZ,300446,20171229,94551000,66,215500,1,1,16300,
300446.SZ,300446,20171229,94603000,65,216100,1,1,1500,
300446.SZ,300446,20171229,94603000,66,215500,1,1,16300,
300446.SZ,300446,20171229,94609000,65,216100,1,1,1500,
300446.SZ,300446,20171229,94609000,66,215600,1,1,1200,
300446.SZ,300446,20171229,94612000,65,216100,1,1,1500,
300446.SZ,300446,20171229,94612000,66,215600,2,2,1200,1300,
300446.SZ,300446,20171229,94630000,65,216100,1,1,1300,
300446.SZ,300446,20171229,94630000,66,215600,2,2,1200,1300,
300446.SZ,300446,20171229,94633000,65,216500,1,1,500,
300446.SZ,300446,20171229,94633000,66,216100,1,1,8700,
300446.SZ,300446,20171229,94642000,65,216500,1,1,500,
300446.SZ,300446,20171229,94642000,66,216100,2,2,8700,8000,
300446.SZ,300446,20171229,94651000,65,216500,1,1,500,
300446.SZ,300446,20171229,94651000,66,216200,1,1,8000,
300446.SZ,300446,20171229,94657000,65,216500,2,2,500,300,
300446.SZ,300446,20171229,94657000,66,216200,1,1,8000,
300446.SZ,300446,20171229,94703000,65,216600,1,1,600,
