万得代码,交易所代码,自然日,订单时间,买卖方向,成交价格,订单数量,明细个数,订单明细,
603538.SH,603538,20171229,95036000,65,268700,2,2,400,600,
603538.SH,603538,20171229,95027000,66,268600,2,2,200,2000,
603538.SH,603538,20171229,95039000,65,268800,2,2,3100,10000,
603538.SH,603538,20171229,95039000,66,268700,1,1,1200,
603538.SH,603538,20171229,95039000,65,268800,2,2,3100,10000,
603538.SH,603538,20171229,95057000,66,268700,1,1,700,
603538.SH,603538,20171229,95039000,65,268800,2,2,3100,10000,
603538.SH,603538,20171229,95100000,66,268700,2,2,700,500,
603538.SH,603538,20171229,95112000,65,268800,2,2,2600,10000,
603538.SH,603538,20171229,95100000,66,268700,2,2,700,500,
603538.SH,603538,20171229,95112000,65,268800,2,2,2600,10000,
603538.SH,603538,20171229,95118000,66,268700,3,3,700,500,600,
603538.SH,603538,20171229,95130000,65,268800,2,2,2500,10000,
603538.SH,603538,20171229,95130000,66,268700,4,4,700,500,600,400,
603538.SH,603538,20171229,95139000,65,268800,2,2,2400,10000,
603538.SH,603538,20171229,95130000,66,268700,4,4,700,500,600,400,
603538.SH,603538,20171229,95236000,65,268800,2,2,900,10000,
603538.SH,603538,20171229,95130000,66,268700,4,4,700,500,600,400,
603538.SH,603538,20171229,95236000,65,268800,2,2,900,10000,
603538.SH,603538,20171229,95248000,66,268700,1,1,200,
603538.SH,603538,20171229,95236000,65,268800,2,2,900,10000,
603538.SH,603538,20171229,95303000,66,268700,2,2,200,1400,
603538.SH,603538,20171229,95236000,65,268800,2,2,900,10000,
603538.SH,603538,20171229,95330000,66,268700,3,3,200,1400,800,
603538.SH,603538,20171229,95236000,65,268800,2,2,900,10000,
603538.SH,603538,20171229,95351000,66,268700,1,1,400,
603538.SH,603538,20171229,95357000,65,268700,2,2,600,4500,
603538.SH,603538,20171229,95357000,66,268600,3,3,200,2000,5000,
603538.SH,603538,20171229,95412000,65,268700,2,2,500,4500,
603538.SH,603538,20171229,95357000,66,268600,3,3,200,2000,5000,
603538.SH,603538,20171229,95412000,65,268700,2,2,500,4500,
603538.SH,603538,20171229,95436000,66,268600,2,2,1200,5000,
603538.SH,603538,20171229,95412000,65,268700,2,2,500,4500,
603538.SH,603538,20171229,95439000,66,268600,3,3,1200,5000,600,
603538.SH,603538,20171229,95412000,65,268700,2,2,500,4500,
603538.SH,603538,20171229,95500000,66,268600,2,2,1500,600,
603538.SH,603538,20171229,95412000,65,268700,2,2,500,4500,
603538.SH,603538,20171229,95503000,66,268600,2,2,800,600,
603538.SH,603538,20171229,95412000,65,268700,2,2,500,4500,
603538.SH,603538,20171229,95512000,66,268600,3,3,800,600,200,
603538.SH,603538,20171229,95412000,65,268700,2,2,500,4500,
603538.SH,603538,20171229,95600000,66,268500,3,3,500,300,500,
603538.SH,603538,20171229,95603000,65,268600,1,1,100,
603538.SH,603538,20171229,95600000,66,268500,3,3,500,300,500,
603538.SH,603538,20171229,95603000,65,268600,1,1,100,
603538.SH,603538,20171229,95636000,66,268500,2,2,300,500,
603538.SH,603538,20171229,95645000,65,268500,1,1,3700,
603538.SH,603538,20171229,95645000,66,268400,6,6,100,1000,500,500,300,200,
603538.SH,603538,20171229,95724000,65,268500,1,1,1700,
603538.SH,603538,20171229,95645000,66,268400,6,6,100,1000,500,500,300,200,
603538.SH,603538,20171229,95742000,65,268500,1,1,1200,
603538.SH,603538,20171229,95645000,66,268400,6,6,100,1000,500,500,300,200,
603538.SH,603538,20171229,95742000,65,268500,1,1,1200,
603538.SH,603538,20171229,95751000,66,268400,5,5,600,500,500,300,200,
603538.SH,603538,20171229,95742000,65,268500,1,1,1200,
603538.SH,603538,20171229,95812000,66,268400,6,6,600,500,500,300,200,200,
603538.SH,603538,20171229,95818000,65,268500,1,1,800,
603538.SH,603538,20171229,95812000,66,268400,6,6,600,500,500,300,200,200,
603538.SH,603538,20171229,95830000,65,268500,1,1,400,
603538.SH,603538,20171229,95812000,66,268400,6,6,600,500,500,300,200,200,
603538.SH,603538,20171229,95836000,65,268500,2,2,400,2300,
603538.SH,603538,20171229,95812000,66,268400,6,6,600,500,500,300,200,200,
603538.SH,603538,20171229,95857000,65,268500,2,2,100,2300,
603538.SH,603538,20171229,95812000,66,268400,6,6,600,500,500,300,200,200,
603538.SH,603538,20171229,95900000,65,268500,1,1,1400,
603538.SH,603538,20171229,95812000,66,268400,6,6,600,500,500,300,200,200,
603538.SH,603538,20171229,95900000,65,268500,1,1,1400,
603538.SH,603538,20171229,95903000,66,268400,6,6,400,500,500,300,200,200,
603538.SH,603538,20171229,95921000,65,268500,1,1,1300,
603538.SH,603538,20171229,95903000,66,268400,6,6,400,500,500,300,200,200,
603538.SH,603538,20171229,95927000,65,268500,1,1,1300,
603538.SH,603538,20171229,95927000,66,268400,1,1,100,
603538.SH,603538,20171229,95927000,65,268500,1,1,1300,
603538.SH,603538,20171229,95945000,66,268400,2,2,100,500,
603538.SH,603538,20171229,95927000,65,268500,1,1,1300,
603538.SH,603538,20171229,100000000,66,268400,3,3,100,500,500,
603538.SH,603538,20171229,100021000,65,268500,1,1,1200,
603538.SH,603538,20171229,100000000,66,268400,3,3,100,500,500,
603538.SH,603538,20171229,100021000,65,268500,1,1,1200,
603538.SH,603538,20171229,100039000,66,268400,1,1,100,
603538.SH,603538,20171229,100045000,65,268500,2,2,1200,1000,
603538.SH,603538,20171229,100039000,66,268400,1,1,100,
603538.SH,603538,20171229,100048000,65,268400,1,1,400,
603538.SH,603538,20171229,100048000,66,268300,5,5,1000,800,600,1000,700,
603538.SH,603538,20171229,100048000,65,268400,1,1,400,
603538.SH,603538,20171229,100054000,66,268300,4,4,1000,800,1000,700,
603538.SH,603538,20171229,100048000,65,268400,1,1,400,
603538.SH,603538,20171229,100115000,66,268300,1,1,200,
603538.SH,603538,20171229,100048000,65,268400,1,1,400,
603538.SH,603538,20171229,100118000,66,268300,1,1,100,
603538.SH,603538,20171229,100127000,65,268400,2,2,400,600,
603538.SH,603538,20171229,100127000,66,268300,1,1,100,
603538.SH,603538,20171229,100136000,65,268300,1,1,400,
603538.SH,603538,20171229,100136000,66,268200,1,1,1000,
603538.SH,603538,20171229,100151000,65,268300,2,2,400,300,
603538.SH,603538,20171229,100151000,66,268200,1,1,800,
603538.SH,603538,20171229,100151000,65,268300,2,2,400,300,
603538.SH,603538,20171229,100224000,66,268200,1,1,100,
603538.SH,603538,20171229,100227000,65,268200,1,1,1900,
603538.SH,603538,20171229,100227000,66,267600,5,5,500,300,200,300,100,
603538.SH,603538,20171229,100248000,65,268200,2,2,1900,300,
603538.SH,603538,20171229,100227000,66,267600,5,5,500,300,200,300,100,
603538.SH,603538,20171229,100248000,65,268200,2,2,1900,300,
603538.SH,603538,20171229,100303000,66,267700,1,1,500,
603538.SH,603538,20171229,100318000,65,268200,3,3,1900,300,1000,
603538.SH,603538,20171229,100318000,66,267700,1,1,200,
603538.SH,603538,20171229,100327000,65,268200,3,3,1900,300,1000,
603538.SH,603538,20171229,100327000,66,267800,1,1,200,
603538.SH,603538,20171229,100342000,65,268200,3,3,1800,300,1000,
603538.SH,603538,20171229,100327000,66,267800,1,1,200,
603538.SH,603538,20171229,100357000,65,267600,1,1,100,
603538.SH,603538,20171229,100357000,66,267300,5,5,300,100,500,200,1400,
603538.SH,603538,20171229,100357000,65,267600,1,1,100,
603538.SH,603538,20171229,100403000,66,267300,6,6,300,100,500,200,1400,500,
603538.SH,603538,20171229,100357000,65,267600,1,1,100,
603538.SH,603538,20171229,100415000,66,267400,1,1,500,
603538.SH,603538,20171229,100418000,65,268200,2,2,1800,300,
603538.SH,603538,20171229,100418000,66,267900,1,1,1000,
603538.SH,603538,20171229,100418000,65,268200,2,2,1800,300,
603538.SH,603538,20171229,100500000,66,267900,1,1,900,
603538.SH,603538,20171229,100515000,65,268200,2,2,1700,300,
603538.SH,603538,20171229,100500000,66,267900,1,1,900,
603538.SH,603538,20171229,100524000,65,268200,2,2,1500,300,
603538.SH,603538,20171229,100500000,66,267900,1,1,900,
603538.SH,603538,20171229,100527000,65,268000,1,1,1100,
603538.SH,603538,20171229,100527000,66,267900,1,1,900,
603538.SH,603538,20171229,100527000,65,268000,1,1,1100,
603538.SH,603538,20171229,100542000,66,267900,1,1,500,
603538.SH,603538,20171229,100545000,65,268000,1,1,900,
603538.SH,603538,20171229,100542000,66,267900,1,1,500,
603538.SH,603538,20171229,100633000,65,267900,1,1,200,
603538.SH,603538,20171229,100633000,66,267700,1,1,300,
603538.SH,603538,20171229,100636000,65,268000,2,2,100,1200,
603538.SH,603538,20171229,100633000,66,267700,1,1,300,
603538.SH,603538,20171229,100636000,65,268000,2,2,100,1200,
603538.SH,603538,20171229,100657000,66,267700,2,2,300,100,
603538.SH,603538,20171229,100748000,65,268000,1,1,1200,
603538.SH,603538,20171229,100657000,66,267700,2,2,300,100,
603538.SH,603538,20171229,100748000,65,268000,1,1,1200,
603538.SH,603538,20171229,100754000,66,267700,3,3,300,100,300,
603538.SH,603538,20171229,100748000,65,268000,1,1,1200,
603538.SH,603538,20171229,100757000,66,267800,1,1,1900,
603538.SH,603538,20171229,100809000,65,267600,1,1,100,
603538.SH,603538,20171229,100809000,66,267500,1,1,900,
603538.SH,603538,20171229,100815000,65,268000,1,1,900,
603538.SH,603538,20171229,100809000,66,267500,1,1,900,
603538.SH,603538,20171229,100821000,65,267400,1,1,600,
603538.SH,603538,20171229,100821000,66,267300,5,5,300,100,500,200,1400,
603538.SH,603538,20171229,100845000,65,267400,2,2,600,200,
603538.SH,603538,20171229,100821000,66,267300,5,5,300,100,500,200,1400,
603538.SH,603538,20171229,100845000,65,267400,2,2,600,200,
603538.SH,603538,20171229,100851000,66,267300,1,1,1100,
603538.SH,603538,20171229,100900000,65,267400,3,3,600,200,100,
603538.SH,603538,20171229,100851000,66,267300,1,1,1100,
603538.SH,603538,20171229,100906000,65,267400,1,1,100,
603538.SH,603538,20171229,100851000,66,267300,1,1,1100,
603538.SH,603538,20171229,100915000,65,268000,2,2,900,500,
603538.SH,603538,20171229,100915000,66,267300,1,1,500,
603538.SH,603538,20171229,100915000,65,268000,2,2,900,500,
603538.SH,603538,20171229,100918000,66,267400,1,1,100,
603538.SH,603538,20171229,100915000,65,268000,2,2,900,500,
603538.SH,603538,20171229,100933000,66,267300,1,1,500,
603538.SH,603538,20171229,100942000,65,268000,3,3,900,500,200,
603538.SH,603538,20171229,100942000,66,267300,1,1,300,
603538.SH,603538,20171229,100942000,65,268000,3,3,900,500,200,
603538.SH,603538,20171229,100951000,66,267300,1,1,100,
603538.SH,603538,20171229,100954000,65,267300,1,1,400,
603538.SH,603538,20171229,100954000,66,267200,6,6,100,100,400,1000,1000,200,
603538.SH,603538,20171229,101003000,65,267300,1,1,100,
603538.SH,603538,20171229,100954000,66,267200,6,6,100,100,400,1000,1000,200,
